Country,Year,key,Diagnostic_Exams,ExpenditurePerCapita,Hospitals,Life_Expectancy_at_Birth,PercPopulationabove65,Physicians,Private_Insurance,Public_Insurance,death_by_cancer,death_by_circular,death_by_accident,Mean_Schooling_Years,NationalIncome,hospital_employment,tot_equipment,medical_grads,nurse_grads,death_by_respirat
Switzerland,2013,Switzerland2013,292.6,6188.217,13.97,82.9,17.501,4.11,28.3,100,5.314302916,4.372277356,0.60392633,13.4,69068.37246,23.58,104,9.72,83.55,0.932447326
Switzerland,2014,Switzerland2014,293.3,6439.034,13.19,83.3,17.697,4.19,29,100,5.283777606,4.167633643,0.583073115,13.4,68789.55197,23.92,103,10.54,93.41,0.851389946
Switzerland,2015,Switzerland2015,292.8,6760.507,12.8,83,17.873,4.27,29.8,100,5.362319861,4.226682655,0.585966947,13.4,67087.47041,24.4,104,10.79,97.94,1.02104164
Turkey,2010,Turkey2010,103.5,843.282,16.73,74.3,7.117,1.69,2.8,96.2,2.287293262,3.006684885,0.246260707,7.2,8954.726933,5.26,43.33,7.02,15.86,0.614087573
Turkey,2011,Turkey2011,113.7,888.309,16.99,74.6,7.288,1.7,4.6,97.6,2.374130576,3.007610055,0.243234851,7.5,9573.265339,6.97,44,6.71,18.92,0.782551027
Turkey,2012,Turkey2012,132.8,894.741,17.84,74.6,7.431,1.73,5.5,98.2,2.40563076,2.863674719,0.238530269,7.7,9883.280155,7.26,45,6.58,19.77,0.749970535
Turkey,2013,Turkey2013,146.8,947.74,18.08,78,7.6,1.76,5.6,98,2.630687318,3.576164951,0.343288352,7.6,10611.0018,8.26,46,6.79,26.06,0.866630532
Turkey,2014,Turkey2014,162.7,1006.772,18.06,78,7.829,1.76,5.8,98.4,2.660293236,3.857352802,0.360776974,7.8,10206.04028,8.49,47,6.7,28.86,0.995188806
Turkey,2015,Turkey2015,177.1,1040.373,17.98,78,8.111,1.81,5.4,98.4,2.662135188,3.959809773,0.352708426,8,9199.814731,8.77,44,8.82,38.62,1.06691596
United Kingdom,2010,United Kingdom2010,46,2870.56,15.32,80.6,16.352,3.39,11.2,100,6.372976236,5.456181813,0.364900466,13.2,33896.39243,21.29,37.43,13.53,27.55,2.125125282
United Kingdom,2011,United Kingdom2011,47.1,2909.888,14.98,81,16.525,3.39,10.9,100,6.398790832,4.832462142,0.373691746,13,36364.55421,20.45,38,13.33,27.25,2.129206741
United Kingdom,2012,United Kingdom2012,57.2,2968.076,14.76,81,17.017,3.38,10.8,100,6.462594398,4.80037133,0.364138404,12.9,36083.52447,21.22,39,13.88,29.88,2.204973714
United Kingdom,2013,United Kingdom2013,62.1,3573.575,13.61,81.1,17.365,3.35,10.6,100,6.419995374,4.717414704,0.386994252,12.6,36538.23564,21.27,41,13.18,31.39,2.274520337
United Kingdom,2014,United Kingdom2014,63.7,3668.397,13.05,81.4,17.659,3.31,10.4,100,6.448224441,4.501283372,0.417987524,12.7,39971.56127,20.67700273,41,13.45,29.06,2.087544502
United Kingdom,2015,United Kingdom2015,73.9,3703.081,11.78,81,17.833,3.3,10.5,100,6.426386974,4.546654945,0.447470805,12.8,37867.41769,20.64908154,41,12.83,27,2.355374067
United States,2010,United States2010,368,7939.349,14.88,78.6,13.086,2.57,60.6,30.8,4.863375049,4.616161756,0.711226367,13.3,40911.95717,19.57,194.56,6.62,65.17,1.383528
United States,2011,United States2011,382.3,8154.364,14.8,78.7,13.272,2.6,60.6,31.8,4.826256062,4.540750838,0.736219924,13.4,42551.14014,19.49,200,6.91,65.04,1.433168162
United States,2012,United States2012,367,8423.311,14.58,78.8,13.743,2.63,60.3,32.6,4.841466311,4.501020936,0.742773022,13.4,44822.1606,19.58,201,6.94,66.4,1.407374918
United States,2013,United States2013,352.2,8628.561,14.42,78.8,14.124,2.7,60.1,33,4.82445655,4.504544974,0.755219964,13.3,45734.87711,19.55,203,7.26,63.35,1.482024678
United States,2014,United States2014,369.4,9042.281,14.15,78.9,14.501,2.71,61.6,34.5,4.840708849,4.481012479,0.782835145,13.3,47837.56796,19.49,204,7.24,62.92,1.44899776
United States,2015,United States2015,368.2,9505.074,13.88,78.7,14.862,2.71,62.9,35.6,4.82850021,4.561954099,0.838367307,13.3,49173.44947,19.62,201,7.48,63.03,1.509225145
